"logFC" "logCPM" "F" "PValue" "FDR"
"P4HB" 4.78896823645783 10.1857059502791 95.8638028691171 3.72987134376434e-06 0.000339194961773825
"LOC112268471" -7.2374420849045 5.28432052116105 96.827466098961 3.75262903059442e-06 0.000339194961773825
"APBA1" -4.48340977755933 5.36439240327597 95.6164466379454 3.77505391211062e-06 0.000339194961773825
"SEC61B" 2.91798299009113 5.93648313629016 95.5236473690909 3.78622094717159e-06 0.000339194961773825
"TTR" 9.65831252980877 5.61328748444674 95.1876867967343 3.78773872253431e-06 0.000339194961773825
"ANG" 3.71968724187176 3.65117135910795 95.2090846537325 3.87118968409384e-06 0.000344031325701826
"NDRG4" -6.64272311210105 7.84905145181276 95.0326186131584 3.87175930342731e-06 0.000344031325701826
"LRIG3" 4.2211855160231 4.72193454179807 94.6806731537413 3.94318071399287e-06 0.000347853665235905
"TSPAN7" -5.13260523682796 7.99271291747867 94.5964765999136 3.94512335709205e-06 0.000347853665235905
"CYFIP2" -4.08396777357732 6.66302173489387 94.2697312219752 4.00360388270182e-06 0.000351461083711355
"MYC" 5.1662843985835 6.24684686144561 94.2224859968069 4.01669809955834e-06 0.000351461083711355
"HOXA3" 5.59793335015743 3.08331297290133 59.35902909666 4.06476749990257e-06 0.000354314809639796
"MBOAT2" -3.97136710289822 5.09170091586072 93.3619520635366 4.1763257109799e-06 0.00036266010198566
"CKB" -4.48097555931254 9.40459057642586 93.0623827258261 4.22627105908082e-06 0.000363226856476515
"SGIP1" -6.10226445986085 4.57537201307256 93.4696755025981 4.23848255471679e-06 0.000363226856476515
"RUNDC3B" -4.84824769139621 3.27101273380794 93.384672325349 4.26461752429973e-06 0.000363226856476515
"FAM133A" -8.22063911711071 0.912547277521044 71.6281491164952 4.27544852630469e-06 0.000363226856476515
